Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,50651,50650,4,4278,46368,16866,21169,16859,21154,18363,16631,20712,2471,58,15040,734917,1,4,1590,68564,19,379322,803485,0,142,1610,12,1615,12,170214899,1527,11520,10963,557,19959746,633,630,3,781606,13300,38906,47107,56958,63091,62127,62945,67678,143655,221300,26418,777434,3587,7411,5228,2860,1646,4808,2733,2607,4298,5982,5311,4401,4599,5310,5690,4618,3151,5533,3131,2940,4906,6824,6111,4977,5108,6056,6459,5074,3367,4650,4364,2874,4476,6436,6483,6218,5998,6426,7052,5523,4031,60186,58494,31961,52166,76712,68883,70621,63036,94284,110783,69399,46960
2.0,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2181,2172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,LAKSHADWEEP,8709,8529,9,8424,96,926,956,925,955,140,614,621,11,4,12,188,0,0,602,14248,0,3248,14436,0,11,34,5,34,5,1114,227,1316,1312,4,793025,6442,6419,23,2574157,273,4824,2975,1329,1785,225,123,451,1329,700,422,9869,345,316,166,61,62,403,104,190,38,52,104,47,141,51,15,81,163,410,104,192,38,52,104,47,141,51,15,81,168,253,93,92,37,50,74,46,120,43,15,49,95,3403,1455,2012,568,812,889,850,1755,640,301,576,1175
5.0,NAGALAND,413625,413414,3607,387617,22190,408269,454083,407818,453327,12568,407712,451646,983,102,21730,897709,3599,104707,382383,17377972,229,5317893,18380388,0,709,20101,6867,24624,7496,610692512,16045,72,68,4,307260,1,1,0,6210,36787,743296,1888813,2379298,3520975,3190618,1598654,2208439,2713652,71400,28456,18217022,72218,126001,116920,85565,50988,260450,231253,213211,114602,138911,107674,187606,139609,140366,128289,159044,111496,261856,231413,213778,114611,139055,108319,192487,139808,140528,132552,162712,114654,256507,229901,209736,113901,135138,103705,179569,139280,125784,120500,145652,118948,2269331,2113584,2092011,1199410,1137890,910090,1953364,1445757,1085300,1616901,1524569,1032181
6.0,ANDHRA PRADESH,8883860,8883860,2185463,709916,5988481,3704940,6745170,3685054,6710113,5079610,3482604,6066522,539249,80951,2260339,122232982,889822,42337536,332443,19975903,838941,107177644,184546421,107984,68386,331450,139054,334466,139132,242323644622,9156681,0,0,0,0,8004626,8004626,0,17257397494,2386075,7682512,9763680,11623608,13282621,14302530,14096080,14832168,32369921,4446700,59760526,179703514,638549,1689947,1743893,1299175,696106,2418933,2441531,2425824,1739034,814808,425406,348869,256877,727954,1293425,1732905,2080197,4286239,4325585,4192979,2924283,1331495,686003,561698,405815,1185376,2151339,2872243,3470066,2047188,2466683,2066847,1028865,314063,234329,178423,120448,306730,668208,1186578,1442259,39504342,49125635,29162979,10039311,2809656,2226225,1797827,1185186,3203545,6934291,17098441,21457579
7.0,ARUNACHAL PRADESH,193153,189965,113,174265,15587,157024,163068,145092,150547,23249,140081,144803,57,71,9159,315628,79,2182,130843,3337902,9744,1109495,3655712,1,56,5949,3116,6466,3384,25718011,11043,55221,53477,1744,218711730,23956,21677,2279,84084319,141471,617202,1000630,912246,390844,327889,121442,87336,50828,3100,2724,3349118,14747,39642,42170,30945,17332,31807,31441,20649,15047,13216,28559,53355,59854,6932,10639,13816,1722,31820,31443,20652,15051,13233,28570,53984,61929,7124,10996,14879,1971,27416,30660,21511,11747,13255,26438,43429,57440,14171,12764,10498,2390,398419,436878,229888,106115,134326,356433,678330,768505,181324,169372,172712,23410
8.0,ASSAM,4165360,4115872,253797,663322,3198753,1321079,1601573,1320881,1601242,372375,1261778,1525443,15505,2385,955758,23052021,79386,1965669,226634,4829482,21180,7387470,29847172,1455,1375,45386,19369,45520,19461,348220617,106723,1843747,1543862,299885,2972703758,950064,847617,102447,1125132376,2374981,5221993,5124212,3781417,3382021,2587315,1681799,1599164,2533892,1282700,277678,25090220,223833,589050,497215,218392,68615,89393,81477,251459,369802,226673,211864,147027,261649,409684,424830,324573,378963,93849,97906,291570,426796,275880,237080,164510,291991,462330,492307,378390,434905,86090,79405,240093,351217,218318,201146,141553,249097,393841,397994,298687,330543,1001355,935380,2358816,3420124,2174865,1892408,1165979,2480173,4247603,4276086,2774847,3119536
9.0,BIHAR,13383199,13014143,3441740,222653,9349750,2440511,3074397,2439377,3072939,3293832,2118908,2649827,125429,4569,1488461,60716929,587920,25133358,42527,1813324,13903,30863806,87663611,37975,2545,108754,84217,123524,87846,3394221797,757406,1572870,1406486,166384,3985652228,3090642,2610983,479659,5146553499,1160137,6516407,9354952,7644977,8735134,8329429,6538077,7027297,18134870,3786500,9007621,81637255,376575,1140226,948735,409285,84883,479770,577018,627438,341971,232921,217825,270993,302915,448546,538396,580304,601353,578608,713864,790421,410972,276228,247066,304635,346169,518580,619045,679205,727670,412554,563417,632287,361990,241854,227864,271263,313248,424767,495745,536221,548183,7798373,10537411,10491537,5807999,4036399,3922345,4517984,5216688,7276847,8485089,8881692,9263037
10.0,CHHATTISGARH,4058588,4007110,425321,1376515,2205274,2748721,5786714,2748563,5786078,3217121,2512379,4990433,346287,24368,1340920,66066471,245336,11720268,926123,52107450,10531,63034787,129894189,28042,157996,147197,41948,147565,42928,466698387,360865,2499232,2442925,56307,5476597135,4125530,4013385,112145,7970474166,1635738,5577419,8418318,9332572,11033758,11654288,10253768,10507911,17250827,988200,43241390,126041835,1183371,2105785,1469056,765019,272001,1143246,1380370,1353854,150930,90440,138277,274349,293919,961505,1439638,1453359,1317947,1996541,2534714,2474686,224275,130448,198814,433475,482664,1667659,2583334,2622624,2366038,939930,1169529,1153624,122446,73047,116377,224974,225988,800812,1231299,1224716,1076416,15310401,21191331,15553600,1326479,798376,1332477,2851231,2973698,12527064,20746343,19580703,15702486
