,Sno.,State Name,District Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
0,1.0,ANDAMAN AND NICOBAR,NICOBARS,5620,5619,4,3966,1649,927,1116,927,1116,200,926,1111,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4425,4246,179,2084697,2,2,0,0,1111,3545,5592,3016,4010,2864,2390,894,922,0,835,22860,222.0,408.0,297.0,140.0,44.0,241,302,358,264,489,34,0,0,0,39,24,0,251,313,453,272,633,40,0,0,0,41,26,0,241,302,353,282,488,146,21,0,0,39,63,0,2736,3284,4509,3464,7796,1612,31,0,0,526,1221,0
1,2.0,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,20234,20234,0,0,20234,7334,9208,7332,9204,9102,7186,8995,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20847,20614,233,28568760,103,102,1,41400,6360,18826,25267,31861,32332,29493,28927,29569,43360,40500,1929,275411,1218.0,3446.0,2425.0,1263.0,643.0,2484,2624,2199,766,1409,771,667,793,1984,2462,3295,2932,2920,3145,2553,838,1598,897,770,868,2276,2910,3852,3343,2336,2792,2214,977,1367,721,722,931,1918,2614,3373,2915,30745,38428,26537,9251,17004,7956,7539,10240,20229,32610,49975,37910
2,3.0,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,10170,10170,0,0,10170,3509,3979,3484,3946,1608,3480,3942,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9173,8731,442,10059280,101,101,0,8740,6812,13639,10664,10765,9492,7485,6688,6307,7025,900,4001,71376,405.0,1364.0,1092.0,627.0,403.0,0,185,1243,967,1330,892,361,1243,841,950,801,437,0,195,1407,1072,1421,967,380,1343,890,990,845,459,0,212,1274,995,1368,952,411,1257,899,961,856,476,0,1773,11178,7988,12940,6516,2905,12381,8040,6616,9046,4395
3,4.0,DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,2172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.0,DAMAN & DIU,DAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.0,DAMAN & DIU,DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.0,LAKSHADWEEP,LAKSHADWEEP DISTRICT,8243,8071,9,7972,90,8,8,8,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253,3249,4,0,4521,4507,14,0,0,110,0,0,0,0,0,0,0,0,0,0,0.0,4.0,1.0,1.0,2.0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,40,0,0,0,0,0,70,0,0,0,0,0
7,8.0,NAGALAND,DIMAPUR,72021,71827,3581,64356,3890,69859,78970,69783,78850,14117,69471,78487,40,25,3838,233483,3574,201624,62059,3755735,178,1044867,4190842,0,35,4693,1333,4693,1333,12633,3788,14254,13982,272,59970597,0,0,0,0,9109,50698,74683,340332,262039,423742,998294,620672,1407272,3900,101,4179029,7868.0,23487.0,22788.0,16270.0,8074.0,67302,67479,67158,65572,58025,64973,64215,61469,63670,54956,51190,36765,68307,68249,67551,65584,58219,65225,64486,61687,63694,54959,51251,36765,67018,66925,67116,65204,57195,64950,62957,61341,63556,54742,50293,36023,568813,508705,498106,361420,242110,318334,249055,286493,252382,354466,361539,189419
8,9.0,NAGALAND,KIPHIRE,23528,23528,3,23471,54,23483,24148,23483,24148,1674,22677,23322,0,4,54,4549,3,259,22620,1693149,19,498341,1697957,0,0,3234,813,3234,813,1402325,1931,636,632,4,9900360,0,0,0,0,0,0,8004,7884,44780,220065,230014,220778,966432,0,0,1697957,4931.0,7400.0,5392.0,3333.0,2266.0,23296,19192,21563,19973,19281,19749,11071,13639,11930,13885,11593,14975,23296,19193,21564,19973,19281,19789,11078,13639,11938,13899,11618,14999,22442,18286,20225,18984,18237,18983,10135,12891,11311,13160,10887,13510,228740,205434,198457,181378,142978,186120,60681,93956,74302,147806,110968,67137
9,10.0,NAGALAND,KOHIMA,53511,53511,0,53510,1,53430,68276,53428,68170,6067,53426,67926,0,14,0,0,0,0,53426,2779955,3,1184588,2779955,0,0,4676,1006,4676,1007,4375369,1738,11423,11395,28,79045093,5,5,0,33058,5552,30797,68742,159447,479957,839812,900342,219918,75388,0,0,2760061,8397.0,20642.0,16658.0,12264.0,9965.0,46710,40351,46984,47116,41627,35580,31867,28092,29445,39057,34206,29164,53989,44724,49559,48253,42505,37898,33448,30746,31221,39859,34975,30200,44624,39120,45623,43827,39850,34866,30177,25530,29240,39185,34936,29635,365011,321378,351587,348212,275070,177676,103621,137162,110590,266420,203200,120028
